source_metadata_id,ark,manifest_url
99114250853506421,ark:/88435/db78tn59n,https://figgy.princeton.edu/concern/scanned_resources/a4145f00-4b07-4bd5-8395-2e8baaa3c4a0/manifest
9922945423506421,ark:/88435/9w032375f,https://figgy.princeton.edu/concern/scanned_resources/ed66fd89-2faf-4d98-aa25-7c90c3913c16/manifest
99114258393506421,ark:/88435/dct435gp63s,https://figgy.princeton.edu/concern/scanned_resources/8e54fbc9-fde6-4e27-ad7d-2ff6f72f53ec/manifest
99114259923506421,ark:/88435/dcqf85nn47m,https://figgy.princeton.edu/concern/scanned_resources/7f44af8b-ef8e-4f30-94fb-b74e91c6d086/manifest
99114258153506421,ark:/88435/dcmp48sp56h,https://figgy.princeton.edu/concern/scanned_resources/7f788078-ffa5-4a7e-9b4e-47e1e40afdf9/manifest
9971913383506421,ark:/88435/8g84mn55h,https://figgy.princeton.edu/concern/scanned_resources/fb1c3046-31b1-4da5-9979-c64ae96be942/manifest
9924497863506421,ark:/88435/2801ph086,https://figgy.princeton.edu/concern/scanned_resources/89713514-d88f-4e12-846f-ddbdd0a84b08/manifest
995085903506421,ark:/88435/p5547s127,https://figgy.princeton.edu/concern/scanned_resources/5b94728d-64e3-4c11-ac1d-8941a0331bbc/manifest
9973986463506421,ark:/88435/765372721,https://figgy.princeton.edu/concern/scanned_resources/7ed847d8-1471-4258-b5f0-32ed8ae77d78/manifest
9925761483506421,ark:/88435/dcgh93h835m,https://figgy.princeton.edu/concern/scanned_resources/255ffed5-699b-4bb8-bfbf-3000457257a9/manifest
9973942453506421,ark:/88435/v118rf92m,https://figgy.princeton.edu/concern/scanned_resources/911547f3-35e1-49f1-b0eb-0ed819f56eec/manifest
9929796593506421,ark:/88435/dc2227n083t,https://figgy.princeton.edu/concern/scanned_resources/6f3d09bb-d488-4012-a41d-12c030cf65c0/manifest
99114257563506421,ark:/88435/gx41mt49t,https://figgy.princeton.edu/concern/scanned_resources/abe7319c-b68c-49cd-8dfd-eb70e8467ee8/manifest
9973870313506421,ark:/88435/kh04dr08n,https://figgy.princeton.edu/concern/scanned_resources/e3938bd1-e9f6-4c5e-8413-5253621ac935/manifest
9973999073506421,ark:/88435/bz60cx64g,https://figgy.princeton.edu/concern/scanned_resources/f7adff69-cd12-4df6-940c-7ac5c4f45c02/manifest
99114256323506421,ark:/88435/t148fs762,https://figgy.princeton.edu/concern/scanned_resources/a99107ae-f199-41b4-b48e-743dfd8f7cf0/manifest
9924565963506421,ark:/88435/dcws859r325,https://figgy.princeton.edu/concern/scanned_resources/c3e4d7d7-cc78-43dd-aa0d-c9ecdc817b82/manifest
