manifest_url,parent_manifest_url,source_metadata_id,ark,title,creator,date,language,publisher,extent,size_cm,content_type,collections,subject,page_count,error
https://figgy.princeton.edu/concern/scanned_resources/a1c525c8-7b0c-4bc2-ad4c-709830afc16b/manifest,,99106449843506421,ark:/88435/dckk91g0036,A view of the obelisk erected under Liberty-tree in Boston on the rejoicings for the repeal of the Stamp Act.,"Revere, Paul, 1735-1818",1943,No linguistic content; Not applicable,1943 (restrike) ; 1766 (original plate).,1 item ; sheet 35.8 x 48 cm.,48,Visual material,The Sid Lapidus '59 Collection on Liberty and the American Revolution; The Most Formidable Weapon Against Errors (Lapidus Milberg Exhibit 2025),Great Britain. Stamp Act (1765)—In art,2,
https://figgy.princeton.edu/concern/scanned_resources/bc000721-7ef1-482e-a18e-0c2c10e67f3d/manifest,,99106365393506421,ark:/88435/dcs7526r87k,The repeal. Or the funeral procession of Miss Americ-Stamp.,"Wilson, Benjamin, 1721-1788",1766,No linguistic content; Not applicable,1766/03/18.,1 item ; sheet 28.7 x 39.1 cm.,1,Visual material,The Sid Lapidus '59 Collection on Liberty and the American Revolution; Princeton and the Revolution; The Most Formidable Weapon Against Errors (Lapidus Milberg Exhibit 2025),Caricature,3,
https://figgy.princeton.edu/concern/scanned_resources/4c25bdc5-8ee5-4c25-89d7-a1b3e6c6614f/manifest,,99114253983506421,ark:/88435/dc4f16cd02j,"Two Letters addressed to the Right Rev. prelates, who a second time rejected the Dissenters’ bill","Radcliff, Ebenezer",1773,English,London : J. Johnson 1773.,"[4], 123, [1] pages ; 8⁰.",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,129,
https://figgy.princeton.edu/concern/scanned_resources/e131877a-47de-458c-9a3e-44b890764fd6/manifest,,99114252943506421,ark:/88435/dc0g354r40f,"The Rights of Parliament Vindicated, on occasion of the late Stamp-Act. In which is exposed the conduct of the American colonists. Addressed to all the People of Great Britain.",,1766,English,London : J. Almon 1766.,44 pages ; 8⁰.,,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,55,
https://figgy.princeton.edu/concern/scanned_resources/43616569-3026-4c12-925a-0c19bf033075/manifest,,9924747203506421,ark:/88435/dc5712mj022,"Common sense; addressed to the inhabitants of America, on the following interesting subjects. I. Of the origin and design of government in general, with concise remarks on the English constitution. II. Of monarchy and hereditary succession. III. Thoughts on the present state of American affairs. IV. Of the present ability of America, with some miscellaneous reflections.","Paine, Thomas, 1737-1809",1776,English,"[London] Philadelphia; printed; London, Re-printed for J. Almon, opposite Burlington-House in Piccadilly. 1776.","[6], 54, [4], 47, [1] p. ; 20 cm. (8vo)",20,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution; Princeton and the Revolution,United States—Politics and government—1775-1783,148,
https://figgy.princeton.edu/concern/scanned_resources/7f57addb-677e-4499-86ed-7f0114878a1b/manifest,,99114249733506421,ark:/88435/dcv692th46p,"Mr. Lloyd's Speeches in the Senate of the United States, on Mr. Hillhouse's Resolution to Repeal the Embargo Laws: November 21, 1808","Lloyd, James, 1769-1831",1808,English,[Washington] : s.n. 1808.,16 pages ; 21 cm.,21,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,16,
https://figgy.princeton.edu/concern/scanned_resources/b3f8b1e8-d548-4755-a471-bdd0c2888bea/manifest,,99114249783506421,ark:/88435/dchq37vz86t,"Speech of Mr. Goodrich, in the Senate, December 19th, 1808, on the third reading of the Bill Making Further Provisions for Enforcing the Embargo","Goodrich, Chauncey, 1759-1815",1808,English,[Washington] : s.n. 1808.,"7, [1] pages ; 21 cm.",21,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,8,
https://figgy.princeton.edu/concern/scanned_resources/1207adf4-970d-44d3-990c-c8d42f69a025/manifest,,99114254133506421,ark:/88435/dcs7526p61z,A Plan to Reconcile Great Britain and Her Colonies. And Preserve the Dependency of America.,"Cawthorne, Joseph",1774,English,London : J. Almon 1774.,"xvi, 40 pages ; 8⁰.",,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,,57,
https://figgy.princeton.edu/concern/scanned_resources/b47c83d0-f716-423b-9858-5395bfd12d91/manifest,,9928670543506421,ark:/88435/dc3x816x79f,"America's remembrancer, with respect to her blessedness and duty. A sermon, delivered in Hopewell, New Jersey, on Thanksgiving day, November 26, 1789. By Oliver Hart. [Quotations]","Hart, Oliver, 1723-1795",1791,English,"Philadelphia: Printed by T. Dobson, at the Stone-House, no. 41, South Second-street. M,DCC,XCI.","1 p.l., [3]-24 p. 20 1/2 cm. (8vo).",2,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,"United States—History—Constitutional period, 1789-1809",33,
https://figgy.princeton.edu/concern/scanned_resources/4cc7dbd6-7320-47d7-a069-8c85062d156b/manifest,,9925229053506421,ark:/88435/dcd504rw58c,"Speech of the Hon. John Marshall, delivered in the House of Representatives, of the United States, on the resolutions of the Hon. Edward Livingston, relative to Thomas Nash, alias Jonathan Robbins.","Marshall, John, 1755-1835",1800,English,"Philadelphia, Printed at the office of ""The True American,"" 1800.","45, [1] p. 17 cm.",17,Book,Lapidus Pamphlets; Collections Donated to Princeton University Library; The Sid Lapidus '59 Collection on Liberty and the American Revolution,"Asylum, Right of.",53,
